LABEL,LAT,LON,DIR
42-2.png,37.81280796791956,-122.27827621137432,21
43-1.png,37.810736135587696,-122.29121266425618,12
43-2.png,37.810736135587696,-122.29121266425618,192
44-1.png,37.81391288926125,-122.2816961574029,190
44-2.png,37.81391288926125,-122.2816961574029,10
45-1.png,37.81288284824129,-122.28376584881228,290
45-2.png,37.81288284824129,-122.28376584881228,110
46-1.png,37.81368703608045,-122.27670652740923,21
46-2.png,37.81368703608045,-122.27670652740923,201
47-1.png,37.81439158629321,-122.27869999926115,289
47-2.png,37.81439158629321,-122.27869999926115,109
48-1.png,37.813085296382496,-122.29100706528162,192
48-2.png,37.813085296382496,-122.29100706528162,12
49-1.png,37.81142922155371,-122.27680352846143,201
49-2.png,37.81142922155371,-122.27680352846143,21
50-1.png,37.81362610065846,-122.27655143260453,21
50-2.png,37.81362610065846,-122.27655143260453,201
51-1.png,37.815007499331465,-122.2897838960266,289
51-2.png,37.815007499331465,-122.2897838960266,109
52-1.png,37.810481867434895,-122.29144987207496,290
52-2.png,37.810481867434895,-122.29144987207496,110
53-1.png,37.81088247633407,-122.27998783224014,109
53-2.png,37.81088247633407,-122.27998783224014,289
54-1.png,37.81319963266229,-122.28925485396877,290
54-2.png,37.81319963266229,-122.28925485396877,110
55-1.png,37.81148816608011,-122.27977097663452,112
55-2.png,37.81148816608011,-122.27977097663452,292
56-1.png,37.81469228016829,-122.28560616983866,192
56-2.png,37.81469228016829,-122.28560616983866,12
57-1.png,37.81295595361279,-122.28693247986322,196
57-2.png,37.81295595361279,-122.28693247986322,16
58-1.png,37.81316912466073,-122.28366148868247,290
58-2.png,37.81316912466073,-122.28366148868247,110
59-1.png,37.813161663920425,-122.28783022097542,196
59-2.png,37.813161663920425,-122.28783022097542,16
60-1.png,37.812481714396135,-122.27939352413469,289
60-2.png,37.812481714396135,-122.27939352413469,109
61-1.png,37.81201017593166,-122.29128558821743,109
61-2.png,37.81201017593166,-122.29128558821743,289
62-1.png,37.814541995075366,-122.27899211212367,13
62-2.png,37.814541995075366,-122.27899211212367,193
63-1.png,37.81163929569919,-122.27971772987725,112
63-2.png,37.81163929569919,-122.27971772987725,292
64-1.png,37.813770733802485,-122.29051652524225,192
64-2.png,37.813770733802485,-122.29051652524225,12
65-1.png,37.814626152406326,-122.28530963111398,192
65-2.png,37.814626152406326,-122.28530963111398,12
66-1.png,37.81313330801081,-122.27915765271686,289
66-2.png,37.81313330801081,-122.27915765271686,109
67-1.png,37.81177189445436,-122.2796501384419,289
67-2.png,37.81177189445436,-122.2796501384419,109
68-1.png,37.81472026106845,-122.28661965932142,289
68-2.png,37.81472026106845,-122.28661965932142,109
69-1.png,37.81499146947427,-122.28692713698999,192
69-2.png,37.81499146947427,-122.28692713698999,12
70-1.png,37.811587206926184,-122.2888018904794,289
70-2.png,37.811587206926184,-122.2888018904794,109
71-1.png,37.81181786096977,-122.27963484432308,289
71-2.png,37.81181786096977,-122.27963484432308,109
72-1.png,37.8147890170598,-122.28659318084323,289
72-2.png,37.8147890170598,-122.28659318084323,109
73-1.png,37.811356002027956,-122.27661439529098,201
73-2.png,37.811356002027956,-122.27661439529098,21
74-1.png,37.81293034615136,-122.28493078738192,110
74-2.png,37.81293034615136,-122.28493078738192,290
75-1.png,37.812107258675866,-122.2886124413541,289
75-2.png,37.812107258675866,-122.2886124413541,109
76-1.png,37.813026609966116,-122.2825438865341,289
76-2.png,37.813026609966116,-122.2825438865341,109
77-1.png,37.81168250408238,-122.2909929366161,290
77-2.png,37.81168250408238,-122.2909929366161,110
78-1.png,37.81471610961856,-122.28662125807774,289
78-2.png,37.81471610961856,-122.28662125807774,109
79-1.png,37.810672712958294,-122.27991803755066,289
79-2.png,37.810672712958294,-122.27991803755066,109
80-1.png,37.81400827219784,-122.27883797280873,289
80-2.png,37.81400827219784,-122.27883797280873,109
81-1.png,37.812205258145205,-122.28961787656269,290
81-2.png,37.812205258145205,-122.28961787656269,110
82-1.png,37.81360035429087,-122.28468857158198,109
82-2.png,37.81360035429087,-122.28468857158198,289
83-1.png,37.81341137423757,-122.28526366697285,193
83-2.png,37.81341137423757,-122.28526366697285,13
84-1.png,37.814342748026334,-122.27837770537941,21
84-2.png,37.814342748026334,-122.27837770537941,201
85-1.png,37.811130687598975,-122.27984304874808,11
85-2.png,37.811130687598975,-122.27984304874808,191
86-1.png,37.813859732729725,-122.2788927075032,290
86-2.png,37.813859732729725,-122.2788927075032,110
87-1.png,37.81068232118269,-122.28006075101263,109
87-2.png,37.81068232118269,-122.28006075101263,289
88-1.png,37.81186682004399,-122.2853175362567,110
88-2.png,37.81186682004399,-122.2853175362567,290
89-1.png,37.810531324427764,-122.29030408414094,12
89-2.png,37.810531324427764,-122.29030408414094,192
90-1.png,37.811306609708936,-122.28670662038924,16
90-2.png,37.811306609708936,-122.28670662038924,196
91-1.png,37.814760659708064,-122.2785697231207,289
91-2.png,37.814760659708064,-122.2785697231207,109
92-1.png,37.81123498499946,-122.29158672234833,109
92-2.png,37.81123498499946,-122.29158672234833,289
93-1.png,37.81138549166713,-122.28092646669747,193
93-2.png,37.81138549166713,-122.28092646669747,13
94-1.png,37.8114635212812,-122.28546378388086,110
94-2.png,37.8114635212812,-122.28546378388086,290
95-1.png,37.81390005000912,-122.2910929121995,193
95-2.png,37.81390005000912,-122.2910929121995,13
96-1.png,37.814216142771315,-122.2787629947112,289
96-2.png,37.814216142771315,-122.2787629947112,109
97-1.png,37.814200914828156,-122.2787684593935,289
97-2.png,37.814200914828156,-122.2787684593935,109
98-1.png,37.810802080972245,-122.2789443879469,24
98-2.png,37.810802080972245,-122.2789443879469,204
99-1.png,37.81033277713818,-122.28018809383885,109
99-2.png,37.81033277713818,-122.28018809383885,289
100-1.png,37.810617589454615,-122.28811662751619,289
100-2.png,37.810617589454615,-122.28811662751619,109
101-1.png,37.81172950568723,-122.27967349814898,112
101-2.png,37.81172950568723,-122.27967349814898,292
102-1.png,37.815334063686514,-122.28745602562888,289
102-2.png,37.815334063686514,-122.28745602562888,109
103-1.png,37.81072731012693,-122.28414398592918,16
103-2.png,37.81072731012693,-122.28414398592918,196
104-1.png,37.81352512983876,-122.28577276576006,193
104-2.png,37.81352512983876,-122.28577276576006,13
105-1.png,37.813963768486985,-122.27885418523182,290
105-2.png,37.813963768486985,-122.27885418523182,110
106-1.png,37.81474301825901,-122.28428441112328,109
106-2.png,37.81474301825901,-122.28428441112328,289
107-1.png,37.81284332350358,-122.27836615101788,201
107-2.png,37.81284332350358,-122.27836615101788,21
108-1.png,37.81381201768192,-122.29070266035663,193
108-2.png,37.81381201768192,-122.29070266035663,13
109-1.png,37.81173784978605,-122.27758914815938,201
109-2.png,37.81173784978605,-122.27758914815938,21
110-1.png,37.812973981388055,-122.27869851812171,201
110-2.png,37.812973981388055,-122.27869851812171,21
111-1.png,37.8114960861867,-122.27966067620915,279
111-2.png,37.8114960861867,-122.27966067620915,99
112-1.png,37.811258510230495,-122.2798519456012,109
112-2.png,37.811258510230495,-122.2798519456012,289
113-1.png,37.81378267056943,-122.28099785867047,190
113-2.png,37.81378267056943,-122.28099785867047,10
114-1.png,37.81182663853026,-122.27963166310664,289
114-2.png,37.81182663853026,-122.27963166310664,109
115-1.png,37.813140906680594,-122.2791549774827,289
115-2.png,37.813140906680594,-122.2791549774827,109
116-1.png,37.813768626490095,-122.29050679918505,192
116-2.png,37.813768626490095,-122.29050679918505,12
117-1.png,37.81446959678912,-122.27871603676097,13
117-2.png,37.81446959678912,-122.27871603676097,193
118-1.png,37.81371973929578,-122.29028089616902,192
118-2.png,37.81371973929578,-122.29028089616902,12
119-1.png,37.81245407404003,-122.29173868254574,16
119-2.png,37.81245407404003,-122.29173868254574,196
120-1.png,37.81158104730062,-122.28306993461177,290
120-2.png,37.81158104730062,-122.28306993461177,110
121-1.png,37.81146536369153,-122.27977901048823,112
121-2.png,37.81146536369153,-122.27977901048823,292
122-1.png,37.80767254951938,-122.2928235580389,109
122-2.png,37.80767254951938,-122.2928235580389,289
