LABEL,LON,LAT,DIR
112.png,-122.18589160048418,37.72881568138945,164
113.png,-122.20126478441902,37.7629729754091,170
114.png,-122.26318415769148,37.84072324013218,322
115.png,-122.21061356422497,37.83887620421001,67
116.png,-122.19867785672601,37.800305616471604,218
117.png,-122.2006235913004,37.7265117924144,131
118.png,-122.22123327162763,37.82778407235779,354
119.png,-122.24112601746242,37.85114636116855,105
120.png,-122.20494431821967,37.79108673079133,50
121.png,-122.18155843681748,37.793119915895055,261
122.png,-122.24311649153775,37.866533326534,318
123.png,-122.26471384504688,37.791083890096374,19
124.png,-122.1815688356931,37.794209016315605,232
125.png,-122.2448324460348,37.79663557622414,221
126.png,-122.26332304866955,37.8068329098717,150
127.png,-122.27500640268725,37.83332690186588,356
128.png,-122.16550463329465,37.747454462711374,137
129.png,-122.21648468465666,37.832340311691134,260
130.png,-122.20009947643591,37.75726049070983,226
131.png,-122.26959778513165,37.82634521410471,251
132.png,-122.28374853312975,37.82271538823564,230
133.png,-122.26898430083862,37.79655447199304,188
134.png,-122.25100068716628,37.80402208483887,259
135.png,-122.21614083085701,37.81051805442868,332
136.png,-122.21051669792185,37.83912386179291,194
137.png,-122.18222749035326,37.78392863491122,39
138.png,-122.13991983009976,37.76162081572389,144
139.png,-122.19407210273032,37.80063318260964,104
140.png,-122.28902409900346,37.80704579672514,60
141.png,-122.2785371413963,37.8045144649429,343
142.png,-122.27130214226104,37.794653880309006,205
143.png,-122.21137002621965,37.750802597253085,72
144.png,-122.24372845812665,37.84868203102279,31
145.png,-122.18235690660067,37.77269718182897,350
146.png,-122.26412065558397,37.79983670769862,231
147.png,-122.1483101723271,37.75719634161662,261
148.png,-122.2151125400671,37.771376611709684,236
149.png,-122.27795386259452,37.807598714075944,164
150.png,-122.21197879238348,37.77079116676891,105
151.png,-122.22459863794336,37.841607119491414,353
152.png,-122.2624012332119,37.79068526963966,71
153.png,-122.30447329630276,37.807796113918684,237
154.png,-122.26344883394117,37.815466415566185,205
155.png,-122.19226715148206,37.77340481627994,204
156.png,-122.28569584430421,37.823568404381724,255
157.png,-122.25378833005108,37.798648511922316,281
158.png,-122.16698852864872,37.739607238563714,247
159.png,-122.23953553769576,37.80668501537672,85
160.png,-122.28066551871844,37.84097541183307,124
161.png,-122.22933076098019,37.85668405133408,250
162.png,-122.26416200400766,37.816161798079655,39
163.png,-122.24383116478302,37.86743706933407,299
164.png,-122.24803196152439,37.84912130459764,32
165.png,-122.22458073242966,37.83646893148268,249
166.png,-122.21353360477171,37.838507675887634,323
167.png,-122.12695673153625,37.75776638098434,248
168.png,-122.2488665137974,37.80245624306751,254
169.png,-122.27688662129574,37.8274734951045,247
170.png,-122.24430123940267,37.82828186829751,347
171.png,-122.26780804708977,37.828161048986956,19
172.png,-122.2738423170093,37.81897247358967,104
173.png,-122.25743743870974,37.82582525195055,291
174.png,-122.20697495150151,37.76861299720827,63
175.png,-122.17507360624118,37.75052295717401,352
176.png,-122.21835223192514,37.766273867692504,299
177.png,-122.23656714981534,37.777206577129526,79
178.png,-122.26854905006286,37.80072207450312,75
179.png,-122.15261409138377,37.749250335365254,8
180.png,-122.27423750977292,37.81736764020961,181
181.png,-122.27988072674643,37.823508574821496,87
182.png,-122.25549823302735,37.83502564950779,90
183.png,-122.18162253194275,37.77169291475899,15
184.png,-122.27387139653489,37.81885314415062,295
185.png,-122.20111806057189,37.79118379253591,258
186.png,-122.20737108852111,37.768800110680424,197
187.png,-122.22021058628334,37.801757758860596,325
188.png,-122.21438986087713,37.776979003259456,271
189.png,-122.15391833704345,37.768524330949234,167
190.png,-122.24118586980909,37.845790889697014,11
191.png,-122.27676687617313,37.809084461838246,59
192.png,-122.22932536143402,37.785415111483644,283
193.png,-122.23431396885599,37.86318114912586,329
194.png,-122.25515843991977,37.819494542732755,309
195.png,-122.18990769260968,37.77066355833862,199
196.png,-122.27915845955333,37.80533256175077,42
197.png,-122.19909458916202,37.73773651125887,327
198.png,-122.25807894218046,37.83693476288639,38
199.png,-122.17983284358112,37.74192222802314,264
200.png,-122.21441644346557,37.79280066282661,200
